Q2:	1.6

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
0.00558852	0.99985	-0.0431888	1.00086
0.00563791	0.999847	-0.0434667	1.00088
0.00568753	0.999845	-0.0437452	1.00089
0.00573736	0.999843	-0.0440243	1.0009
0.00578741	0.999841	-0.044304	1.00091
0.00583768	0.999839	-0.0445844	1.00092
0.00588817	0.999836	-0.0448653	1.00093
0.00593888	0.999834	-0.0451469	1.00094
0.00598981	0.999832	-0.0454291	1.00095
0.00604096	0.99983	-0.0457119	1.00097
0.00609233	0.999827	-0.0459952	1.00098
0.00614392	0.999825	-0.0462791	1.00099
0.00619573	0.999823	-0.0465636	1.001
0.00624776	0.99982	-0.0468487	1.00101
0.00630001	0.999818	-0.0471343	1.00102
0.00635247	0.999815	-0.0474204	1.00104
0.00640516	0.999813	-0.0477071	1.00105
0.00645807	0.99981	-0.0479944	1.00106
0.0065112	0.999808	-0.0482821	1.00107
0.00656455	0.999805	-0.0485704	1.00108
0.00661812	0.999803	-0.0488592	1.0011
0.00667191	0.9998	-0.0491485	1.00111
0.00672592	0.999797	-0.0494383	1.00112
0.00678015	0.999795	-0.0497286	1.00113
0.0068346	0.999792	-0.0500194	1.00115
0.00688926	0.999789	-0.0503107	1.00116
0.00694415	0.999787	-0.0506025	1.00117
0.00699926	0.999784	-0.0508947	1.00119
0.00705459	0.999781	-0.0511873	1.0012
0.00711014	0.999778	-0.0514805	1.00121
0.00716591	0.999775	-0.051774	1.00123
0.0072219	0.999772	-0.0520681	1.00124
0.00727811	0.99977	-0.0523625	1.00125
0.00733454	0.999767	-0.0526574	1.00127
0.00739119	0.999764	-0.0529527	1.00128
0.00744806	0.999761	-0.0532484	1.00129
0.00750515	0.999758	-0.0535445	1.00131
0.00756246	0.999755	-0.053841	1.00132
0.00761999	0.999752	-0.0541379	1.00134
