Q2:	5

z	fQ	dfQ/dz	fQ^2 + (dfQ/dz)^2/Q2
0.0305529	0.992515	-0.383977	1.01457
0.0306693	0.992471	-0.384636	1.01459
0.0307859	0.992426	-0.385294	1.0146
0.0309027	0.992381	-0.38595	1.01461
0.0310198	0.992336	-0.386605	1.01462
0.031137	0.99229	-0.387258	1.01463
0.0312545	0.992245	-0.387909	1.01464
0.0313722	0.992199	-0.388559	1.01465
0.0314902	0.992153	-0.389207	1.01466
0.0316084	0.992107	-0.389854	1.01467
0.0317268	0.992061	-0.390499	1.01468
0.0318454	0.992014	-0.391142	1.01469
0.0319642	0.991968	-0.391784	1.0147
0.0320833	0.991921	-0.392424	1.01471
0.0322026	0.991874	-0.393063	1.01471
0.0323221	0.991827	-0.393699	1.01472
0.0324418	0.99178	-0.394334	1.01473
0.0325618	0.991733	-0.394968	1.01473
0.032682	0.991685	-0.3956	1.01474
0.0328024	0.991638	-0.39623	1.01474
0.032923	0.99159	-0.396858	1.01475
0.0330439	0.991542	-0.397485	1.01475
0.033165	0.991494	-0.39811	1.01476
0.0332863	0.991445	-0.398733	1.01476
0.0334078	0.991397	-0.399355	1.01476
0.0335296	0.991348	-0.399975	1.01477
0.0336516	0.991299	-0.400593	1.01477
0.0337738	0.99125	-0.401209	1.01477
0.0338962	0.991201	-0.401824	1.01477
0.0340189	0.991152	-0.402437	1.01477
0.0341417	0.991102	-0.403049	1.01477
0.0342648	0.991053	-0.403658	1.01477
0.0343882	0.991003	-0.404266	1.01477
0.0345117	0.990953	-0.404872	1.01477
0.0346355	0.990903	-0.405477	1.01477
0.0347595	0.990853	-0.406079	1.01477
0.0348837	0.990802	-0.40668	1.01477
0.0350082	0.990751	-0.407279	1.01476
0.0351329	0.990701	-0.407877	1.01476
0.0352578	0.99065	-0.408472	1.01476
0.0353829	0.990598	-0.409066	1.01475
0.0355083	0.990547	-0.409658	1.01475
0.0356338	0.990496	-0.410249	1.01474
0.0357597	0.990444	-0.410837	1.01474
0.0358857	0.990392	-0.411424	1.01473
0.0360119	0.99034	-0.412009	1.01472
0.0361384	0.990288	-0.412592	1.01472
0.0362651	0.990236	-0.413174	1.01471
0.036392	0.990183	-0.413753	1.0147
0.0365192	0.990131	-0.414331	1.01469
0.0366466	0.990078	-0.414907	1.01468
0.0367742	0.990025	-0.415481	1.01467
0.036902	0.989972	-0.416054	1.01466
0.0370301	0.989918	-0.416624	1.01465
0.0371583	0.989865	-0.417193	1.01464
0.0372868	0.989811	-0.41776	1.01463
0.0374156	0.989757	-0.418325	1.01462
0.0375445	0.989703	-0.418888	1.01461
0.0376737	0.989649	-0.41945	1.01459
0.0378031	0.989595	-0.420009	1.01458
0.0379327	0.989541	-0.420567	1.01457
0.0380626	0.989486	-0.421123	1.01455
0.0381927	0.989431	-0.421677	1.01454
0.038323	0.989376	-0.42223	1.01452
0.0384535	0.989321	-0.42278	1.0145
0.0385843	0.989266	-0.423329	1.01449
0.0387152	0.98921	-0.423875	1.01447
0.0388465	0.989155	-0.42442	1.01445
0.0389779	0.989099	-0.424963	1.01444
0.0391095	0.989043	-0.425505	1.01442
0.0392414	0.988987	-0.426044	1.0144
0.0393735	0.98893	-0.426581	1.01438
0.0395059	0.988874	-0.427117	1.01436
0.0396384	0.988817	-0.427651	1.01434
0.0397712	0.98876	-0.428183	1.01431
0.0399042	0.988703	-0.428713	1.01429
0.0400374	0.988646	-0.429241	1.01427
0.0401709	0.988589	-0.429767	1.01425
0.0403046	0.988531	-0.430292	1.01422
0.0404385	0.988474	-0.430814	1.0142
0.0405726	0.988416	-0.431335	1.01418
0.040707	0.988358	-0.431854	1.01415
0.0408416	0.9883	-0.43237	1.01413
0.0409764	0.988241	-0.432885	1.0141
0.0411114	0.988183	-0.433399	1.01407
0.0412467	0.988124	-0.43391	1.01404
0.0413822	0.988065	-0.434419	1.01402
0.0415179	0.988006	-0.434927	1.01399
0.0416539	0.987947	-0.435432	1.01396
0.04179	0.987888	-0.435936	1.01393
0.0419264	0.987828	-0.436438	1.0139
0.042063	0.987769	-0.436937	1.01387
0.0421999	0.987709	-0.437435	1.01384
0.042337	0.987649	-0.437931	1.01381
0.0424742	0.987589	-0.438426	1.01377
0.0426118	0.987528	-0.438918	1.01374
0.0427495	0.987468	-0.439408	1.01371
0.0428875	0.987407	-0.439897	1.01367
0.0430257	0.987346	-0.440383	1.01364
0.0431641	0.987285	-0.440868	1.01361
0.0433028	0.987224	-0.44135	1.01357
0.0434416	0.987163	-0.441831	1.01353
0.0435807	0.987101	-0.44231	1.0135
0.0437201	0.98704	-0.442787	1.01346
0.0438596	0.986978	-0.443262	1.01342
0.0439994	0.986916	-0.443735	1.01338
0.0441394	0.986854	-0.444207	1.01334
0.0442797	0.986791	-0.444676	1.0133
0.0444201	0.986729	-0.445143	1.01326
0.0445608	0.986666	-0.445609	1.01322
0.0447017	0.986603	-0.446072	1.01318
0.0448429	0.98654	-0.446534	1.01314
0.0449842	0.986477	-0.446994	1.0131
0.0451258	0.986414	-0.447451	1.01306
