Q2:	2

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
0.0244867	0.998245	-0.116975	1.00334
0.0245885	0.998233	-0.117233	1.00334
0.0246904	0.998222	-0.117491	1.00335
0.0247926	0.99821	-0.117748	1.00335
0.024895	0.998197	-0.118004	1.00336
0.0249976	0.998185	-0.11826	1.00337
0.0251004	0.998173	-0.118515	1.00337
0.0252035	0.998161	-0.11877	1.00338
0.0253067	0.998149	-0.119024	1.00338
0.0254102	0.998136	-0.119278	1.00339
0.0255139	0.998124	-0.119531	1.0034
0.0256177	0.998112	-0.119784	1.0034
0.0257218	0.998099	-0.120036	1.00341
0.0258262	0.998087	-0.120288	1.00341
0.0259307	0.998074	-0.120539	1.00342
0.0260354	0.998061	-0.12079	1.00342
0.0261404	0.998049	-0.12104	1.00343
0.0262456	0.998036	-0.121289	1.00343
0.026351	0.998023	-0.121538	1.00344
0.0264566	0.99801	-0.121787	1.00344
0.0265624	0.997997	-0.122035	1.00345
0.0266684	0.997984	-0.122282	1.00345
0.0267746	0.997971	-0.122529	1.00345
0.0268811	0.997958	-0.122776	1.00346
0.0269878	0.997945	-0.123021	1.00346
0.0270947	0.997932	-0.123267	1.00347
0.0272018	0.997919	-0.123511	1.00347
0.0273091	0.997906	-0.123756	1.00347
0.0274166	0.997892	-0.123999	1.00348
0.0275244	0.997879	-0.124243	1.00348
0.0276323	0.997865	-0.124485	1.00348
0.0277405	0.997852	-0.124727	1.00349
0.0278489	0.997838	-0.124969	1.00349
0.0279575	0.997825	-0.12521	1.00349
0.0280663	0.997811	-0.12545	1.0035
0.0281753	0.997797	-0.12569	1.0035
0.0282846	0.997783	-0.12593	1.0035
0.028394	0.99777	-0.126169	1.0035
0.0285037	0.997756	-0.126407	1.00351
0.0286136	0.997742	-0.126645	1.00351
0.0287237	0.997728	-0.126882	1.00351
0.028834	0.997714	-0.127119	1.00351
0.0289445	0.9977	-0.127355	1.00351
0.0290553	0.997685	-0.127591	1.00352
0.0291662	0.997671	-0.127826	1.00352
0.0292774	0.997657	-0.12806	1.00352
0.0293888	0.997643	-0.128294	1.00352
0.0295004	0.997628	-0.128528	1.00352
0.0296122	0.997614	-0.128761	1.00352
0.0297242	0.997599	-0.128993	1.00352
0.0298365	0.997585	-0.129225	1.00352
0.029949	0.99757	-0.129457	1.00353
0.0300616	0.997555	-0.129688	1.00353
0.0301745	0.997541	-0.129918	1.00353
0.0302876	0.997526	-0.130148	1.00353
0.030401	0.997511	-0.130377	1.00353
0.0305145	0.997496	-0.130606	1.00353
0.0306282	0.997481	-0.130834	1.00353
0.0307422	0.997466	-0.131062	1.00353
0.0308564	0.997451	-0.131289	1.00353
0.0309708	0.997436	-0.131515	1.00353
0.0310854	0.997421	-0.131742	1.00353
0.0312002	0.997406	-0.131967	1.00353
0.0313153	0.99739	-0.132192	1.00353
0.0314305	0.997375	-0.132417	1.00352
0.031546	0.99736	-0.132641	1.00352
0.0316617	0.997344	-0.132864	1.00352
0.0317776	0.997329	-0.133087	1.00352
0.0318937	0.997313	-0.13331	1.00352
0.03201	0.997298	-0.133532	1.00352
0.0321266	0.997282	-0.133753	1.00352
0.0322433	0.997266	-0.133974	1.00351
0.0323603	0.99725	-0.134194	1.00351
0.0324775	0.997235	-0.134414	1.00351
0.0325949	0.997219	-0.134634	1.00351
0.0327125	0.997203	-0.134852	1.00351
0.0328303	0.997187	-0.135071	1.0035
0.0329484	0.997171	-0.135289	1.0035
0.0330667	0.997154	-0.135506	1.0035
0.0331852	0.997138	-0.135723	1.0035
0.0333038	0.997122	-0.135939	1.00349
0.0334228	0.997106	-0.136155	1.00349
0.0335419	0.997089	-0.13637	1.00349
0.0336612	0.997073	-0.136585	1.00348
0.0337808	0.997057	-0.136799	1.00348
0.0339006	0.99704	-0.137013	1.00348
0.0340206	0.997023	-0.137227	1.00347
0.0341408	0.997007	-0.13744	1.00347
0.0342612	0.99699	-0.137652	1.00346
0.0343818	0.996973	-0.137864	1.00346
0.0345027	0.996957	-0.138075	1.00345
0.0346237	0.99694	-0.138286	1.00345
0.034745	0.996923	-0.138497	1.00345
0.0348665	0.996906	-0.138706	1.00344
0.0349882	0.996889	-0.138916	1.00344
0.0351102	0.996872	-0.139125	1.00343
0.0352323	0.996855	-0.139333	1.00343
0.0353547	0.996837	-0.139541	1.00342
0.0354772	0.99682	-0.139749	1.00342
0.0356	0.996803	-0.139956	1.00341
0.035723	0.996785	-0.140163	1.0034
